arch	file	size	sha256	source
win32	libgtk-3.dll.a	3225166	5c25cdbdda37a54b539fc678484ecf078f8dfcb73100ef9941be3b7fbcda2735	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-gtk3-3.24.51-2-any.pkg.tar.zst
win32	libgtkglext-win32-1.0.dll.a	11870	a24c4f97ef050e6bc3d83ba7fee8167de626a7015b5d9d687e91d5668bb4d4e5	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-gtkglext-1.2.0-4-any.pkg.tar.zst
win32	libgtk-win32-2.0.dll.a	2831874	1783832dc279c23e6b6f0e7d783c4eff75039ce3cc5b7eeb7b817bff1ca94365	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-gtk2-2.24.33-6-any.pkg.tar.zst
win32	libpango-1.0.dll.a	366418	424b97d76fb0d565bf6885dfba26a113e81c386360b379214ef246bad347f99c	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-pango-1.56.4-3-any.pkg.tar.zst
win32	libpangocairo-1.0.dll.a	26824	312dc4e5e99c9501831552c76930e33eac1d7e9e0bdde3c9f1dbd9c116627d56	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-pango-1.56.4-3-any.pkg.tar.zst
win32	libpangoft2-1.0.dll.a	72464	fab6fe5e2fe35bb737d6945ae57b1b0c56ff13cbddbf5d57b6f5b4f30b3f79c2	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-pango-1.56.4-3-any.pkg.tar.zst
win32	libpangowin32-1.0.dll.a	27410	a01f56859e14dd078214680ef2ec3fc6042ceb86ebdde0e89c7e2294075abe93	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-pango-1.56.4-3-any.pkg.tar.zst
win32	bin/win32/libatk-1.0-0.dll	189669	951a5bde6aa669773320d4e3ee9edeebe844225e27050ffa7034ccebed668cc4	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-atk-2.60.2-1-any.pkg.tar.zst
win32	bin/win32/libepoxy-0.dll	2101488	7a5668f984b04c5b78467131629c8bd6ced270187009ada58518277c60f291c6	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-libepoxy-1.5.10-7-any.pkg.tar.zst
win32	bin/win32/libfribidi-0.dll	163838	6f4978bd5c428fa8268c076cbfcc479b35ab95c4af0fc521d2e6a67a3a4468cd	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-fribidi-1.0.16-1-any.pkg.tar.zst
win32	bin/win32/libgdk_pixbuf-2.0-0.dll	382428	803fcea6039ece1c2c39d4caab28ba7e917d3c19fa2b028dccaf1af5026ae427	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-gdk-pixbuf2-2.44.6-1-any.pkg.tar.zst
win32	bin/win32/libgdk-3-0.dll	1440239	4449ff048f87dcc2c2733447bf794760d42409c0a2a56976a2118ddfa4eded78	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-gtk3-3.24.51-2-any.pkg.tar.zst
win32	bin/win32/libgdkglext-win32-1.0-0.dll	377698	77c5217f7395b4a86496f1af9d74a9601d52019f90d252f4a68abc8344354ac8	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-gtkglext-1.2.0-4-any.pkg.tar.zst
